"","Africa","Asia","EECA","LA","MENA","West"
"72","soon","research","center","bucket","work","racism"
"73","obtain","access","regular","bureaus","draft","stupid"
"74","healthi","unusu","anoth","campesino","presid","fragment"
"75","toward","angri","statist","cazuela","regim","clearer"
"76","bound","carri","top","christiana","wife","born"
"77","delic","averag","fit","clay","expand","includ"
"78","subservi","statist","understand","colonialstyl","march","appli"
"79","aid","cash","creat","divert","encourag","parent"
"80","farmer","west","chose","dominion","street","worker"
"81","status","loan","feminist","drinkabl","mall","veil"
"82","model","contract","newspap","eenag","blogger","job"
"83","white","almost","friend","examp","drove","antipornographi"
"84","paper","thus","time","exce","protest","amend"
"85","recours","amount","mayor","fadh","coverag","neither"
"86","asset","reproduct","depict","fearsom","upris","lag"
"87","laugh","deep","polit","flair","rough","reader"
"88","black","thank","attent","fledgl","push","suburb"
"89","graduat","better","newli","fro","enemi","distribut"
"90","struggl","drunken","shown","governortob","refug","probabl"
"91","virtu","qualiti","twothird","gravit","rival","presum"
"92","genit","alcohol","exchang","gubernatori","setback","psycholog"
"93","paid","implement","natur","harddriv","theocraci","individu"
"94","water","domest","resid","insurrect","warlord","consist"
"95","presid","attack","septemb","jeanbertrand","exact","nonpartisan"
"96","bitter","gender","union","junta","repeat","elig"
"97","alien","item","coupl","laden","hardlin","loophol"
"98","compulsori","accur","fact","lationship","democraci","fascin"
"99","wife","unexpect","magazin","libertin","oil","harmoni"
"100","pledg","elder","masculin","lisemari","foreign","narrat"
"101","lay","alway","hungarian","menial","permiss","submiss"
"102","visitor","particular","rubl","muchcritic","store","peter"
"103","throughout","inde","ageist","nizer","secur","lend"
"104","hold","templ","alexand","odditi","detain","depict"
"105","discov","just","alla","orat","elect","bit"
"106","prevail","enrol","americanbas","orga","secularist","mayor"
"107","attribut","meanwhil","antipathi","owev","jail","object"
"108","debt","grievanc","artscen","patriarchc","late","paid"
"109","tini","artist","aurthoritarian","peddl","sacrif","queen"
"110","southern","wish","balconi","plug","escap","offend"
"111","live","census","benefici","pot","edict","biolog"
"112","get","cast","bestsel","preoccupi","anyway","correct"
"113","widespread","upper","bread","probl","makeup","assist"
"114","peopl","difficulti","brunett","rangel","gotten","ritual"
"115","test","popul","calib","revalu","afterward","argument"
"116","bus","aid","caucasus","ricardo","scarv","bureaucraci"
"117","six","weight","chauvin","runoff","video","charact"
"118","more","branch","clincher","sandinist","without","scene"
"119","perfect","report","codex","sanitari","sent","arriv"
"120","unmarri","littl","communiqué","signifi","hamid","persecut"
"121","begun","reserv","complement","slower","author","fullfac"
"122","ceremoni","ration","cyberfeminclub","squatter","societi","intens"
"123","stop","agricultur","czar","subminist","stop","resist"
"124","age","mainten","daycar","superwoman","human","broader"
"125","econom","regard","dishevel","swagger","constitut","scandal"
"126","theyr","occupi","disorgan","twostori","shiit","bill"
"127","imprison","food","distractionjoani","urb","burst","church"
"128","civil","counter","doorman","wellplac","lingeri","action"
"129","condit","shut","easiest","yorktrain","loya","origin"
"130","campaign","panel","elgibl","celebr","outreach","affect"
"131","socal","safeti","eurovis","half","freed","obscen"
"132","differ","patriarchi","exhibition","companion","conscript","membership"
"133","enforc","analyz","fccstyle","maid","unveil","workingclass"
"134","sponsor","catalyst","fellowtravel","still","door","john"
"135","accomplish","fetus","fidel","governor","deserv","differenti"
"136","deliv","flaw","forcef","malefemal","chant","applic"
"137","march","insignific","freeforal","bikini","custodi","cultur"
"138","subject","lifestyl","freez","elena","driver","ident"
"139","bead","lucki","fur","hierarch","segreg","psychologist"
"140","senga","mentor","genius","salon","dare","plant"
"141","zulu","occurr","glamor","threeday","wore","roman"
"142","abound","worsen","hardcurr","unbalanc","took","stronger"
"143","accent","surviv","harvardeduc","unnot","minimum","teenag"
"144","allevi","gang","hedonist","unsanitari","futur","fulli"
"145","allout","diminish","highris","abrupt","wheel","specif"
"146","amen","parallel","hippi","backbon","crowd","acquit"
"147","amongst","achiev","hooray","beckon","licens","catharin"
"148","appl","entrench","immut","candidaci","twitter","churchgoer"
"149","apprais","settlement","innumer","congression","minut","extract"
"150","badg","defin","irina","demur","lawmak","invent"
"151","blackgovern","arrang","irreconcil","disagr","travel","alonso"
"152","bottl","expert","komsomolet","doubli","forbidden","antiporn"
"153","boygetsgirl","legaci","laundri","earthquak","ruler","classifi"
"154","brain","blind","leagal","emin","beg","cristina"
"155","cairobas","bureau","loneli","equalpay","cellphon","dimens"
"156","caption","unabl","lonelyheart","forth","facto","grasp"
"157","catchment","stall","lthat","grandfath","hosni","immin"
"158","cattl","echo","moskovskii","happili","invas","maternityleav"
"159","caxton","illiteraci","mythic","hop","ultraconserv","statesanct"
"160","chast","empow","neofascist","interdisciplinari","contradict","childrear"
"161","childcar","bright","newfangl","latin","vision","conscienc"
"162","childcustodi","satisfi","nondrink","margaret","schedul","erstwhil"
"163","classif","tone","nowaday","mixtur","oppos","facial"
"164","comic","unmarri","nurnberg","monopoli","vote","incomprehens"
"165","customarili","babi","oldstyl","oneparti","dishonor","pair"
"166","dam","glorifi","omin","overshadow","modesti","akin"
"167","deceas","politburo","openminded","robberi","bolster","embryolog"
"168","desol","bald","ora","seamless","sharpli","expartn"
"169","discredit","satisfactori","outset","semioffici","oust","fascist"
"170","disinherit","infecti","overemancip","sixyear","pervas","invitro"
"171","dispossess","aftermath","pageandahalf","strident","nurs","lorrain"
"172","disproport","conceal","phycist","troublemak","grown","mantra"
"173","drought","fallout","physiotherapi","undisguis","signatur","natalli"
"174","eileen","generos","polem","unregul","analyst","precancer"
"175","ekbal","happier","pontiff","came","seiz","retrospect"
"176","eltalawi","herald","prefect","plot","optimist","summar"
"177","epitom","luckier","primit","legal","kingdom","thorni"
"178","etiquett","muchlov","promoscow","struggl","keep","holder"
"179","evelov","sadden","quickest","lack","readi","prototyp"
"180","fetcher","simplest","quixot","effort","grant","unconvinc"
"181","firstborn","southwest","ramzan","format","backward","afghanstyl"
"182","foodscarc","outdo","raze","journal","smile","billionair"
"183","fork","pig","repaid","medic","oldest","calibr"
"184","forti","newer","romanbyzantin","armi","copi","centrist"
"185","fulbright","girlfriend","roza","luxuri","recep","champ"
"186","grain","dormitori","scan","welleduc","grate","clearcut"
"187","guis","knock","secreci","annul","successor","cradl"
"188","handshak","misguid","selfdescrib","buri","clarifi","elyse"
"189","haul","atrisk","selfreal","burial","admonish","embryo"
"190","headbal","baffl","separatist","coast","awkward","governmentencourag"
"191","heretofor","cpr","siberian","conting","captur","gurus"
"192","hivinfect","eyecatch","smokefil","eleg","guardianship","insidi"
"193","hoe","golden","solitud","extraordinarili","halfbroth","certain"
"194","iciz","istan","spurious","humbl","smash","deem"
"195","imperialist","outfitt","stateapprov","ladder","caprici","nativ"
"196","impregn","paternalist","statesponsor","myth","shook","scope"
"197","inaud","selfdefens","stayathom","seldom","supervis","cold"
"198","incometax","twist","sundrench","unavail","winc","seller"
"199","intepret","exhort","temperatur","unwritten","burka","withdrawn"
"200","irrespons","laborsav","thereaft","wednesday","counterbal","delight"
