"","Africa","Asia","EECA","LA","MENA","West"
"62","consign","chines","immut","twostori","coeduc","german"
"63","constanc","panelist","innumer","urb","emir","differenti"
"64","continentwid","infanticid","irreconcil","wellplac","facto","john"
"65","corros","erot","kingpin","yorktrain","hosni","philosoph"
"66","cursori","martial","kiosk","agrarian","hussein","tip"
"67","customarili","petition","komsomolet","companion","invas","unanim"
"68","dam","slum","laundri","machismo","ratif","undu"
"69","deceas","surnam","leagal","maid","refug","workingclass"
"70","depen","uncomfort","limbo","governor","rival","accost"
"71","desol","adulter","loneli","malefemal","salafi","acquit"
"72","discredit","aftermath","lonelyheart","abrupt","setback","afghanstyl"
"73","dispossess","antisoci","lthat","backbon","shura","akin"
"74","disproport","arbitrarili","magician","beckon","ultraconserv","alonso"
"75","disus","aros","miklo","bikini","warlord","antimarriag"
"76","downbeat","atrisk","moskovskii","candidaci","car","antiporn"
"77","drought","backlog","mythic","congression","twitter","attende"
"78","eileen","baffl","neofascist","demur","chador","babysitt"
"79","ekbal","bald","newfangl","disagr","detain","ballroom"
"80","eltalawi","bash","nondrink","doubli","terrorist","beer"
"81","envoy","battlefield","nowaday","earthquak","chant","benign"
"82","epitom","bond","nude","elena","gulf","billionair"
"83","etiquett","censustak","nudist","emin","prosecutor","bluecollar"
"84","evelov","cheat","nurnberg","equalpay","taliban","calibr"
"85","fetcher","conceal","oldstyl","forth","antiwar","canton"
"86","firstborn","cool","omin","grandfath","burst","cardin"
"87","foodscarc","cpr","openminded","happili","compos","catharin"
"88","fork","deficit","ora","hierarch","conscript","centrist"
"89","forti","deflect","outset","hop","defiant","champ"
"90","frailti","delud","overemancip","interdisciplinari","descend","childrear"
"91","fulbright","dormitori","pageandahalf","latin","freed","chromosom"
"92","goat","dougla","paraphernalia","margaret","funer","churchgoer"
"93","goodwil","dweller","photoson","mixtur","loya","classifi"
"94","grain","elitist","phycist","monopoli","mehrieh","clearcut"
"95","guis","ellen","physiotherapi","oneparti","outreach","commonwealth"
"96","handshak","empathi","playboy","overshadow","rabbin","conscienc"
"97","hapless","exhort","polem","robberi","shia","cradl"
"98","hardscrabbl","eyecatch","pontiff","salon","shiit","cristina"
"99","haul","fallout","popo","seamless","stadium","dimens"
"100","headbal","gaokao","prefect","semioffici","ticket","elyse"
"101","heretofor","generos","primit","sixyear","turban","embryolog"
"102","hilli","girlfriend","profitori","strident","unveil","enfranchis"
"103","hivinfect","glorifi","promoscow","threeday","upheav","environment"
"104","hoe","golden","quickest","troublemak","womendr","erstwhil"
"105","iciz","hadood","quixot","unbalanc","afterward","euro"
"106","imperialist","happier","ramzan","undisguis","secular","expartn"
"107","impregn","herald","raze","unnot","colonel","extract"
"108","inaud","illkempt","recoil","unregul","coverag","facial"
"109","incometax","infecti","repaid","unsanitari","actor","fascist"
"110","infanc","intrasociet","repair","plot","adjud","fatherland"
"111","inkosi","invert","romanbyzantin","annul","admonish","forest"
"112","inspector","istan","roza","buri","agent","fratern"
"113","intepret","kerosen","sauna","burial","antiislam","furher"
"114","irrespons","knock","scan","coast","authent","germanspeak"
"115","islandn","kumari","secreci","conting","awkward","governmentencourag"
"116","ivoirian","laborsav","selfdescrib","eleg","backslid","grasp"
"117","jabu","luckier","selfreal","extraordinarili","bed","gurus"
"118","jacob","lust","selfstyl","humbl","caprici","holder"
"119","karabo","macarthur","separatist","ladder","captur","ideabodi"
"120","kikuyu","masturb","serfdom","luxuri","carpet","immin"
"121","lagotian","misguid","siberian","myth","cautious","incomprehens"
"122","lamontvill","motorbik","siphon","seldom","clarifi","infus"
"123","lawn","muchlov","smokefil","unavail","compat","inquisit"
"124","lent","newer","solitud","unwritten","convoy","insidi"
"125","loiter","nonessenti","spurious","welleduc","copi","invent"
"126","longheld","nut","stagnat","format","counterbal","lorrain"
"127","manuscriptcollect","offshor","stateapprov","journal","dean","malign"
"128","martin","outdo","statesponsor","climb","egyptian","mantra"
"129","mat","outfitt","stayathom","flow","empti","manuallabor"
"130","mitzvah","outmod","sundrench","rock","entrust","maternityleav"
"131","modup","overtim","temperatur","atop","envelop","metal"
"132","moonlit","paternalist","thereaft","catch","eros","michèl"
"133","motif","paycheck","thirdyear","deterior","fingernail","mixedsex"
"134","mutorwa","pig","thunderbolt","fascin","granddaught","natalli"
"135","mweng","plagu","tulip","fleet","grate","nonpract"
"136","mzimela","politburo","tuxedo","harmoni","guardianship","nonverb"
"137","necklac","precept","tworoom","irish","hadith","nordic"
"138","niec","premis","twoweek","maneuv","halfbroth","nuditi"
"139","nomagugu","profit","tyrann","maximum","hallway","ombudswoman"
"140","oldtim","ranjana","tyrant","outdat","harem","overseen"
"141","opportunist","reappear","umbrag","palac","hazara","pair"
"142","oppressor","rein","unacknowledg","possess","hejab","petrifi"
"143","ostrac","reveng","unconstrain","thcenturi","hid","pinch"
"144","outburst","roy","underprivileg","   sheryl","icolemancfrorg","precancer"
"145","outright","sadden","unequivoc"," experi","immodest","prefac"
"146","peasantri","saddl","unsurpris"," first","kurd","prototyp"
"147","penetr","salutatorian","villa"," in","oldest","rabbit"
"148","penni","san","washingtonbas"," on","optim","retrospect"
"149","pleat","satisfactori","whack"," play","pack","ruthless"
"150","plywood","selfdefens","wiser"," should","plane","screenwrit"
"151","presidentelect","sexolog","wist","aback","recep","selfconceal"
"152","pseudosci","sexselect","womanhood","abayah","reinterpret","selfrespect"
"153","purdah","shahida","womenthey","abbaya","repercuss","servil"
"154","purg","sham","worthwhil","abd","shook","showcas"
"155","rambuncti","sheng","candi","abdel","smash","spaniard"
"156","recreat","simplest","cheap","abdessalam","soft","statesanct"
"157","rectifi","southeastern","dispos","abdula","spoken","subtitl"
"158","refriger","southwest","gospel","abettor","stroll","suffragett"
"159","relinquish","spectat","matriarchi","abigail","stubborn","summar"
"160","relish","storybook","nyt","abir","successor","surrog"
"161","remud","tailhook","nytimescom","abjur","supervis","taxat"
"162","repertoir","talaq","sexi","ablaz","takeov","thorni"
"163","reshap","tatter","threshold","abli","thrill","transsexu"
"164","sarcast","therapi","holiday","abortionright","thug","unconvinc"
"165","saucer","toxic","soviet","abound","timid","whitecollar"
"166","sear","twist","heroic","aboveground","toe","stigmat"
"167","seced","ulhaq","millennium","abrog","trivial","british"
"168","secondaryschool","underachiev","recess","abstain","unilater","refuge"
"169","semiarid","unthink","selfhelp","abstent","wahhabi","categori"
"170","sexdetermin","upgrad","spawn","abu","winc","fantasi"
"171","shack","virus","watersh","abund","woke","essenc"
"172","shehu","weibo","adrift","accent","rough","hypothet"
"173","shona","welltodo","anim","accentu","wheel","indec"
"174","shove","wolfwhistl","antifamili","accessor","anyway","topless"
"175","shroud","women ","atroc","accidentpron","fli","persecut"
"176","singular","zia","authorit","accolad","gotten","pornographi"
"177","slapdash","zulfiqar","bark","accredit","makeup","contin"
"178","sponsorship","privaci","belt","accultur","nurs","dehuman"
"179","spoon","ordin","businessmen","acquitt","oust","macho"
"180","squeez","burn","cafeteria","acr","pervas","depict"
"181","steep","blatant","cartoon","acrid","soccer","materi"
"182","stillwaggon","clergymen","centerright","acrimoni","unaccompani","sexism"
"183","stricken","menstrual","clutch","acrobat","driver","hit"
"184","stripe","nutrit","corp","activistdriv","circumcis","boss"
"185","stunt","parallel","crew","actress","saturday","bureaucraci"
"186","suitor","stark","cuddl","actuallli","signatur","homicid"
"187","suject","techniqu","decadelong","adag","edict","racial"
"188","symptomat","vocat","deeper","adjac","enemi","blond"
"189","takeoff","loan","demis","adjunct","municip","cultiv"
"190","tamper","cash","dine","admonit","cover","distributor"
"191","tassel","rage","disguis","adnan","regim","elig"
"192","taxrais","admiss","dri","adorn","segreg","fascin"
"193","teem","pill","drunk","adrienn","scarv","gynecolog"
"194","tenth","uniform","elena","adul","video","harmoni"
"195","thirdgener","dowri","export","advent","guardian","irish"
"196","thirdworld","villag","fake","advers","hardlin","lend"
"197","tomam","alcohol","fastgrow","adversari","oil","loophol"
"198","tread","poorest","flush","aerob","minut","narrat"
"199","trill","illiteraci","georg","affin","traffic","nonpartisan"
"200","triumphal","item","gross","affirmativeact","bolster","peter"
