"","top.200.smd.africa.uni.","top.200.smd.asia.uni.","top.200.smd.eeca.uni.","top.200.smd.mena.uni.","top.200.smd.la.uni.","top.200.smd.west.uni."
"40","tissu","southwest","remain","engag","fill","stayathom"
"41","truli","suggest","doubt","tribal","fought","steamrol"
"42","grass","professor","wasnt","roommat","later","supplier"
"43","danger","everi","hear","threat","specif","viennes"
"44","instruct","coupl","privat","stori","chairman","master"
"45","reduc","convict","refuge","imag","sister","worldwid"
"46","section","pattern","promin","eastern","walk","creator"
"47","equip","latest","relief","past","televis","diagnosi"
"48","effort","scienc","ago","help","club","graduat"
"49","nurs","offer","line","famili","vari","grew"
"50","spread","bitter","pick","code","safeti","restaur"
"51","workshop","seven","sever","life","spring","breast"
"52","among","citi","hard","sister","feel","annex"
"53","rite","factor","record","morn","hill","cosmet"
"54","prize","number","everyth","mountain","largest","fragranc"
"55","obstetrician","land","servic","resort","bag","hostess"
"56","urin","discrimin","even","kurdish","produc","wherev"
"57","hiv","sari","gain","adulteri","imag","ardent"
"58","empow","ten","amput","insurg","detail","avid"
"59","belli","busi","anomali","consent","line","nurseri"
"60","ambul","rise","barricad","fond","book","grandchildren"
"61","glove","sociologist","bet","insecur","overwhelm","ident"
"62","matern","trend","bib","rifl","great","daughterinlaw"
"63","zulu","liter","bulldoz","stab","serious","spite"
"64","that","ancestr","childsiz","miseri","wealthi","lumber"
"65","risk","hungri","computer","someon","affair","visa"
"66","hill","revers","crise","refer","process","chain"
"67","bill","absolut","currenc","right","transform","emeritus"
"68","damag","distinct","everpres","skill","youth","plaza"
"69","imagin","scholar","fano","lay","beyond","aug"
"70","vagina","peasant","fascist","insist","revolut","pitch"
"71","diabet","set","feather","prophet","earth","diamond"
"72","branch","loan","frenzi","basement","resid","furnitur"
"73","subsaharan","unhappi","hardpress","assassin","success","spokeswoman"
"74","subject","word","heartless","provinci","symbol","senior"
"75","virus","twothird","inconspicu","cloister","resourc","west"
"76","complic","sweet","inconveni","conven","acn","realli"
"77","circumcis","ratio","livabl","convoy","advisori","favorit"
"78","defend","frequent","matchless","cushion","aimless","date"
"79","gone","son","neverthless","hamid","alin","avenu"
"80","health","lower","nicola","instabl","antic","mom"
"81","januari","friend","ostrich","liberti","artisan","plain"
"82","canal","press","oszvald","regain","audaci","joke"
"83","anesthet","entrepreneur","overcrowd","runaway","audit","appear"
"84","immun","literaci","peculiar","squalid","autonoma","grown"
"85","transmit","theyll","programm","tajik","azteca","hotel"
"86","piec","railway","readiest","return","barbarita","shop"
"87","period","remarriag","regalia","conscious","bereav","releas"
"88","suffer","sexselect","regiment","dirti","beribbon","corpor"
"89","remov","vendor","reunif","head","bernal","includ"
"90","typic","balk","revisionist","tortur","bikini","silver"
"91","vulner","flood","salut","forbid","bikiniclad","cutter"
"92","exhaust","loyalti","simplist","suspicion","blockbust","competit"
"93","acquir","voluntarili","spree","interview","calam","mrs"
"94","antiaid","sold","stalinist","court","catandmous","down"
"95","australian","starv","stateprovid","particip","cautionari","fifth"
"96","banana","fewer","strawberri","advoc","charcoal","engin"
"97","bladder","comment","towel","crime","chees","though"
"98","despis","complain","unreliev","price","choreograph","war"
"99","disappoint","miss","vain","nail","comehith","bear"
"100","hood","higher","virul","asylum","compliant","person"
"101","labia","lowest","weekday","nephew","constip","daycar"
"102","longheld","prime","zloti","selfinflict","disassoci","art"
"103","nelson","confucian","amonth","refug","disconnect","sunday"
"104","pediatrician","lane","anna","elop","ean","sens"
"105","queen","financi","astronaut","pashtun","fatigu","condit"
"106","sociolog","conveni","ballerina","happi","fausto","alway"
"107","vulva","suppos","ballroom","cover","fluentli","wealth"
"108","antiapartheid","immedi","blini","involv","format","reluct"
"109","folk","station","bolshoi","human","glitzi","research"
"110","linger","spirit","bur","extremist","grader","couldnt"
"111","global","daughter","caviar","pistol","groundless","archiv"
"112","rapist","less","cognac","leas","grouptherapi","establish"
"113","surgic","machin","convivi","especi","guerr","magazin"
"114","hyena","seldom","crab","judg","guilloi","inde"
"115","orphan","liber","easter","bruis","guilt","recogn"
"116","step","statist","fiveyear","cellphon","heartthrob","prepar"
"117","shoe","civilian","flatter","stone","heavyset","photo"
"118","consequ","commod","gallant","betroth","hysteria","hear"
"119","practic","inquiri","garrul","poppi","iconoclast","birthday"
"120","caus","landown","hanna","interven","idealist","earli"
"121","emerg","leftov","inhibit","ruin","imit","yet"
"122","inaugur","rid","knight","invok","immut","immedi"
"123","stadium","eas","konstantin","lift","irrevoc","fulltim"
"124","recogn","younger","laden","brown","javier","racist"
"125","formal","increas","leninist","despit","lowinterest","survivor"
"126","stuck","old","lobster","hair","lowlevel","generous"
"127","hospit","cast","marxist","oil","machismo","wrench"
"128","survey","chicken","mikhail","bread","magnifi","pneumonia"
"129","bled","cigarett","mug","thrown","malnournish","tide"
"130","stillborn","heir","pinkdrap","scene","mane","doubl"
"131","count","infanticid","politburo","part","maria","receiv"
"132","communiti","servant","rightofcent","peac","mileston","blind"
"133","donat","festiv","salti","discov","moderateforc","german"
"134","around","evid","sanctiti","otherwis","monstrous","met"
"135","infibul","attach","seldomseen","threebedroom","multilingu","holocaust"
"136","began","pioneer","servicemen","jirga","musician","behavior"
"137","perform","taunt","solicitud","relat","neurosi","chairman"
"138","cant","sorri","squarefoot","protect","nextdoor","horribl"
"139","mutil","new","tact","reaction","nom","ambiti"
"140","legisl","break","thrash","mujahedeen","notar","pose"
"141","pregnanc","untouch","tribun","hous","nourish","satisfact"
"142","fece","descend","tune","cleric","offstag","symbol"
"143","empower","flower","unsympathet","absenc","onscreen","life"
"144","ideal","collect","ursula","aggriev","panick","fair"
"145","doctor","amniocentesi","viktoriya","animist","piano","discuss"
"146","mortal","mobil","except","basi","pinup","version"
"147","ran","root","hungarian","champion","pollera","compani"
"148","world","mental","attend","consumm","pornograph","myth"
"149","properti","wit","pajama","fatima","portray","uncov"
"150","ceremoni","matter","culmin","precari","provision","complex"
"151","soap","brothel","ail","satellit","psychosomat","colleg"
"152","plastic","villag","torment","slept","psychot","occupi"
"153","teen","childhood","recept","smuggler","remitt","alcohol"
"154","stigmat","gender","show","wedlock","resuc","heavili"
"155","bleed","job","prosecutor","claim","rosa","rear"
"156","throughout","courtyard","attent","client","roundbrim","spell"
"157","discourag","determin","scout","anyway","scientist","grief"
"158","much","pressur","suspend","chest","shark","behalf"
"159","blade","prosecut","sweater","pink","silva","photograph"
"160","missionari","due","endur","thin","spanishspeak","biolog"
"161","slowli","distanc","caller","harsh","starlet","expand"
"162","challeng","drawn","contagion","budget","subdivis","chapter"
"163","grandmoth","delhi","flatten","tailor","subpoena","train"
"164","water","discrep","groceri","reconstruct","thisll","soldier"
"165","progress","entranc","harri","shut","transnat","degre"
"166","weight","plummet","interior","feud","trekk","welfar"
"167","infertil","cliff","juic","opium","tumultu","doesnt"
"168","accompani","coerc","martial","neck","turnofthecenturi","bought"
"169","die","contradict","onetim","southern","unfinish","dinner"
"170","launch","puppet","paranoid","fruit","universidad","export"
"171","prevent","scant","picturesqu","father","unkempt","children"
"172","push","signatur","plus","member","vilma","lord"
"173","estim","splash","porter","let","waif","trap"
"174","general","brainwash","protector","earlier","zani","band"
"175","train","deform","ration","niec","aftershock","brand"
"176","surgeri","demean","soughtaft","nowher","audiovisu","content"
"177","fat","distraught","summit","excit","auxiliari","paus"
"178","bend","perm","trail","tension","barbara","dress"
"179","deliber","rash","ventur","justifi","bathtub","silenc"
"180","handwritten","epic","wretch","shawl","champ","tribut"
"181","headtoto","hierarchi","absent","sisterinlaw","claw","march"
"182","instrument","himalayan","exhibit","impos","copello","strong"
"183","lament","mytholog","facad","anhour","cynthia","east"
"184","leap","subservi","fade","bedspread","encyclopedia","son"
"185","pant","templ","fortitud","beig","environment","speak"
"186","penal","undergradu","gala","comfi","gaillard","print"
"187","predict","reshap","incred","conflicttorn","greatgrandson","bond"
"188","scandal","businessman","jealousi","fourbedroom","incis","tuesday"
"189","skinni","escal","lace","furnish","latch","gentl"
"190","slice","hawker","liver","geometr","lymphoma","repli"
"191","sneak","pli","manner","lowincom","mar","busi"
"192","stuf","ramshackl","mythic","mitra","margeri","product"
"193","trampl","crackdown","necessarili","muscular","marlen","star"
"194","voiceless","excus","notori","pastel","metalurg","associ"
"195","nerv","paperwork","proverb","singlefamili","mireus","matter"
"196","prematur","philosoph","quiver","tyson","nanci","announc"
"197","what","shrink","rot","unten","nightgown","obtain"
"198","caesarean","spartan","seeth","usl","painter","whose"
"199","endors","swept","solicit","ayatollah","postearthquak","handl"
"200","condom","tamper","spat","depth","privatesector","smile"
