"","TITLE","REGION","TEXT","YEAR","COUNTRY_FINAL"
"111","Women of the Working Press; Journalists From 39 Countries on Their Place & Profession","Asia","Susan King was twirling pearls and Maureen Bunyan stood poised like, well, Maureen Bunyan. They were attending the International Women's Media Conference at the National Press Club. And Bunyan, along with moderator Karen Elliott-House of The Wall Street Journal and others, was about to join a panel on ""Reporting Around the World -- Conflicts and Conduct."" ""Professionally this is a lot more difficult than talking to the Jaycees,"" said Bunyan, a WUSA-TV newscaster, ""but it's rewarding. It helps me get a perspective of where I stand with other people."" ""In the office, I'm relaxed,"" said Nawal Serry, undersecretary for news programming affairs for Egyptian Television and another ""Conflicts"" panelist. ""But here, I'm not so relaxed."" About 100 women from 38 foreign countries and the United States had gathered for the conference, cochaired by Universal Press Syndicate columnist Georgie Anne Geyer and United Nations Information Centre Director Phyllis Kaminsky and underwritten by the U.S. Information Agency and several corporate sponsors. The four-day event opened with speeches by Washington Post Co. Board Chairman Katharine Graham, USIA Director Charles Z. Wick and National Press Club President Mary Kay Quinlan; it concludes tomorrow. The six women on the ""Conflicts"" panel discussed the occupational difficulties faced by female foreign correspondents. The subsequent panel, ""Relationships,"" was led by King, a WRC-TV anchor, and dealt with the working relationships of women journalists and their colleagues. Both panels were an opportunity for top women journalists to comment on the state of women in what is still a male-dominated profession. News organizations in Europe are ""heavily dominated by men,"" said Polly Toynbee, a reporter with England's The Guardian. Consequently, news issues are ""by men, for men and about men."" But although some panelists spoke of sex discrimination, many stressed that it wasn't just male colleagues and superiors who barred the way to success. ""I always had to work harder to tell me I could do the job,"" said Suhaini Aznam, Malaysian bureau chief for the Hong-Kong-based Far Eastern Economic Review. ""That was probably the hardest battle."" ""I must be as competitive with women ... as with men,"" said Hearst Newspapers columnist Marianne Means. ""It used to be that you had to act like a man and think like a lady. But all you have to do is work like a dog."" Both Aznam and Serry said they encountered little or no sexism in Malaysia and Egypt, respectively. ""I never felt discrimination,"" said Serry, who has worked as a journalist since 1956. In the Egyptian radio industry, she said, women account for approximately 31 percent of the work force, and the gender ratio in television jobs is ""50-50."" In Malaysia, Aznam said, ""it is politics, rather than gender, which dictates"" the life of a foreign correspondent, particularly when dealing with the government. Access to information is ""just as difficult for men and women."" For Cristiana Chamorro, editorial page editor of La Prensa, politics transcended gender. Freedom of the press in Nicaragua, she said, is ""for men and women who support a totalitarian government,"" and the Sandinistas have closed down ""any voice contrary ... to their tastes."" There are certain advantages to being a woman journalist, Aznam said. In dangerous situations, she has found that women ""are seen as less of a threat. People don't fear you as they would a man."" In fact, she added, ""male colleagues asked me to accompany them for their protection."" Many women have shown a reluctance to work abroad, said Karen DeYoung, London correspondent for The Washington Post. They were ""much less willing to make the sacrifice,"" and ""had mapped out their careers ... which didn't include going out to the wilds somewhere ... The women I talked to felt a level of visibility was much better attained here in Washington."" Elliott-House expressed a fear that certain women have ""peaked,"" that ""women have grown conservative with success. More and more women are starting to think, 'Is it worth it?' Now that they have something to lose, they feel like risking less, [with a] tendency not to speak up ... But, she said, ""I don't think women got as far as they are by being quiet.""",1986,"Malaysia"
"112","Serfdom and 'Soviet Women'","EECA","To the Editor: As one of those feminists Ruth Daniloff, in her review of Francine du Plessix Gray's ''Soviet Women,'' anticipated taking umbrage with Ms. Gray's rather worn theory that women desire ''to lead and be led,'' I must say that the only thing paradoxical about the ''paradoxal 'equality' '' Ms. Gray describes is her use of the term to describe a situation that, by her own account, is anything but that. Equally disturbing is the double talk exhibited in Ms. Daniloff's review. For example, ''Paradoxically, men discriminate against women in the Soviet Union, treating them in ways that would horrify their Western sisters. But they do not dominate them. Just the opposite. It is a matriarchy.'' What kind of a matriarchy would pay its female workers ''two-thirds of the average male income,'' give women the ''dirty manual jobs,'' insure that women do not ''reach the top'' of the professions and then blame ''the 'masculinized woman' '' for society's ills? What strange logic allows Ms. Daniloff to say that Russian women are tyrannical while ''Russian men . . . had a heritage of serfdom, followed by more than 70 years of dictatorship that . . . robbed them of initiative,'' as if Russian women had not been subject to the same historical forces? What sort of tyrant would create a world in which, by Ms. Daniloff's own admission, ''the average woman undergoes more than seven abortions in a lifetime'' and ''men refuse to shoulder household responsibilities''? And as to Ms. Gray's ''conclusion that the Soviet Union might be as much in need of a men's movement as of a women's movement,'' I'd say they've had one all along. G. HANLON Boston",1990,"Russia"
"113","Evolution in Europe; Sex Magazines and Massage Parlors Test Hungary's New Limits","EECA","Pornography, long banned by the Communists as the worst spawn of Western decadence, has broken into the open in Hungary, taking its place on the newsstands as another example of a newly emboldened press. But the explosion of sexually explicit material has already produced a backlash. Parents, religious groups and feminists are recoiling from the shock of seeing photographs of nudes and graphic depictions of sexual acts on the covers of publications like Sexexpress, Popo, Sexy Lady, Lesbi Girls, Apollo and the other pornographic magazines prominently displayed at their local kiosks. ''It is no wonder after 40 years of oppression that this profit-oriented business is flourishing,'' said Miklos Hasznos, an official of the Christian Democratic Party. ''Pornography is part of democracy, but human rights means taking the other side into consideration, too.'' The Christian Democratic Party, through its newspaper, Yes, began a campaign against pornography last winter, collecting 90,000 signatures. Distributors have since been required to seal sexually explicit material in clear plastic, but now the campaign has moved on to demands that the magazines be wrapped in brown paper or be otherwise kept from plain sight. ''We are only protesting against the fact that these newsstand pictures are practically yelling out to the 13- and 14-year-olds,'' Mr. Hasznos said. Feminists Are Upset Many here expect Hungary's newly elected Parliament to seek to have the growing sex industry brought under some form of control, with the effort spurred by a coalition of center-right and Christian parties led by the Hungarian Democratic Forum. Feminists, upset by the exploitation of women, worry that controls will be put in place for the wrong reasons. ''I'm very depressed,'' said Judit Revesz, an English teacher active in women's groups. She said the spread of these materials was understandable in light of the years of oppression. ''But what is missing from the debate is the articulation of the view that this is offensive to women,'' she said. ''People are mixing liberty with bad taste.'' Laws regulating sexual mores are now in a state of limbo. This is one reason for the increase in sex shops, sex clubs, sex videos and sex advertisements. Practically everything that can be had in Times Square is now for sale in Hungary. Elsewhere in Eastern Europe In this field, Hungary is either far ahead or, depending on the point of view, far behind all the other Eastern European countries emerging from Communist rule. There is no legal pornography for sale in Romania or Czechoslovakia. In Poland the Roman Catholic Church has waged a successful struggle against the open distribution of such material. But in Hungary, along with the graphic photographs, the magazines - those that print articles - stick to standard fare; an ''objective'' history of the breast appears in an issue of Sexexpress, alongside a historical essay on underwear. There are also articles on AIDS and advertisements for dieting devices. Given this competition, many here say Playboy magazine, which began a Hungarian edition last December, has been surpassed. In Hungary, even more than in other Eastern European countries, a strong consensus exists in support of liberalizing the puritanical code imposed by the Communists. A poll taken last fall by the Hungarian Public Opinion Research Institute showed that 75 percent of those interviewed favored legalizing prostitution, with men and women of an equal mind on the issue. Brothels here were closed in the 1950's, and a public debate is under way on when to allow them to reopen. King of Hungarian Pornography Antal Laszlo Voros, the self-styled king of Hungarian pornography, is not worried about any kind of a clampdown. ''Hungarians have always been more relaxed about sex, and more aggressive about business, than others,'' he said, adding that a petition signed by thousands ''is not enough to stop millions.'' ''I have talked to a lot of members of the Hungarian Democratic Forum,'' Mr. Voros said. ''They are just like us. They like to make love; they like pretty girls.'' Mr. Voros says he refuses to advertise sex with animals, with children, or between men, but otherwise the only limit he sees is what the market in Hungary will bear. ''For five years, it will keep going up and then it will stagnate,'' he said. Mr. Voros, 37 years old, a former journalist, photographer and part-time magician, started with a nudist travel agency and has gone on to create an empire built on pornography. He now operates Budapest's only sex club, publishes six photos-only sex magazines, sells sex tours to Thailand, Greece and other countries, has filmed two pornographic movies and has many more plans - including brothels, a fleet of sex taxis to provide transport for call girls, two sex ships on Lake Balaton in Hungary, and expectations for a pornography export business to Romania, Czechoslovakia and even the Soviet Union if that markets there open up. Boasting of His Success Clearly enjoying his role as kingpin of Hungary's sex business, Mr. Voros likes to boast of his success, even embellish it. Since he went into the business full time a year ago - he still has a car repair and an advertising business on the side - he said he has grossed up to $15 million. Whatever the exact amount, it is apparently enough to build himself a villa with eight rooms and two swimming pools on 10 acres overlooking Budapest, and to make him into one of Hungary's most visibly successful small entrepreneurs. Mr. Voros said the business took off last June when it became clear to him and his contacts at the Ministry of Trade that pornography was no longer off limits. Until then, he had periodically been harassed by the police during filming of his movies, he said. As it is, many of the regular customers of Mr. Voros's sex club - a cramped bar in a backyard in Budapest's Ninth District, decorated with sex paraphernalia and equipped with sauna and massage room in the back - are foreigners, mostly Germans who find the prices in Hungary cheap. The cost of a sex massage is $50 at the official exchange rate. Mr. Voros says he believes that by allowing pornography last summer, the authorities, then still Communist, were making a deliberate effort to siphon off political pressure. ''If we want to be truthful, it was used to take people's attentions from problems - like rising prices,'' he said. ''By giving people pornography, travel and free passports, this was how they tried to cover up for the bad life.'' ''My goal is to have bad conditions,'' Mr. Voros said. ''Then people will spend their sorrow on women and travel.''",1990,"Hungary"
"114","Word for Word / Papal Letter; To the Women of the World: An Affirmation of 'Feminine Genius'","EECA","IT is a rare day that Pope John Paul II strikes a chord that echoes fairly well with Roman Catholic feminists. Only about a year ago he infuriated many church liberals by telling the faithful to abandon any thought of women becoming priests. But last week, the Pope issued a letter to women that was notable not just for its clarity but also for a personal apology for those in the church who had contributed to the oppression of women. The Pope endorsed ""real equality"" between the sexes, condemned sexual violence and expressed admiration for women who had struggled for their rights. Although he ceded nothing on the all-male priesthood, he chose not to dwell on it. In its timing, the document was hardly a thunderbolt from the blue. It was intended to help shape the debate leading up to the United Nations' conference on women, to be held in Beijing in September, which the Vatican fears will be influenced by Western feminist ideas with which it does not agree. Church officials have already criticized the draft document for the conference as ""unbalanced,"" saying it slights motherhood. They have said they want to change a section condemning ""forced pregnancy"" so that the words don't appear to condone abortion in cases of rape. The Pope's letter, excerpted below, sought to stake out ground on which church and many women can stand together. In its directness and affirmative tone, the 16-page letter follows the page-and-a-half chapter on women in the Pontiff's best-selling book, ""Crossing the Threshold of Hope"" (Knopf, 1994).   GUSTAV NIEBUHR  Women's dignity has often been unacknowledged and their prerogatives misrepresented; they have often been relegated to the margins of society and even reduced to servitude. This has prevented women from truly being themselves and it has resulted in a spiritual impoverishment of humanity. Certainly it is no easy task to assign the blame for this, considering the many kinds of cultural conditioning which down the centuries have shaped ways of thinking and acting. And if objective blame, especially in particular historical contexts, has belonged to not just a few members of the Church, for this I am truly sorry. May this regret be transformed, on the part of the whole Church, into a renewed commitment of fidelity to the Gospel vision. When it comes to setting women free from every kind of exploitation and domination, the Gospel contains an ever relevant message which goes back to the attitude of Jesus Christ himself. . . .  Motherhood Penalized Yes, it is time to examine the past with courage, to assign responsibility where it is due in a review of the long history of humanity. Women have contributed to that history as much as men and, more often than not, they did so in much more difficult conditions. I think particularly of those women who loved culture and art, and devoted their lives to them in spite of the fact that they were frequently at a disadvantage from the start, excluded from equal educational opportunities, underestimated, ignored and not given credit for their intellectual contributions. . . . To this great, immense feminine ""tradition"" humanity owes a debt which can never be repaid. Yet how many women have been and continue to be valued more for their physical appearance than for their skill, their professionalism, their intellectual abilities, their deep sensitivity; in a word, the very dignity of their being! And what shall we say of the obstacles which in so many parts of the world still keep women from being fully integrated into social, political and economic life? We need only think of how the gift of motherhood is often penalized rather than rewarded, even though humanity owes its very survival to this gift. Certainly, much remains to be done to prevent discrimination against those who have chosen to be wives and mothers. As far as personal rights are concerned, there is an urgent need to achieve real equality in every area: equal pay for equal work, protection for working mothers, fairness in career advancements, equality of spouses with regard to family rights. . . . Then, too, when we look at one of the most sensitive aspects of the situation of women in the world, how can we not mention the long and degrading history, albeit often an ""underground"" history, of violence against women in the area of sexuality? At the threshold of the Third Millennium we cannot remain indifferent and resigned before this phenomenon. The time has come to condemn vigorously the types of sexual violence which frequently have women for their object and to pass laws which effectively defend them from such violence. Nor can we fail, in the name of the respect due to the human person, to condemn the widespread hedonistic and commercial culture which encourages the systematic exploitation of sexuality. . . .  Heroic Love In contrast to these sorts of perversion, what great appreciation must be shown to those women who, with a heroic love for the child they have conceived, proceed with a pregnancy resulting from the injustices of rape. Here we are thinking of atrocities perpetrated not only in situations of war, still so common in the world, but also in societies which are blessed by prosperity and peace and yet are often corrupted by a culture of hedonistic permissiveness which aggravates tendencies to aggressive male behavior. In these cases the choice to have an abortion always remains a grave sin. But before being something to blame on a woman, it is a crime for which guilt needs to be attributed to men and to the complicity of the general social environment. . . . Here I cannot fail to express my admiration for those women of good will who have devoted their lives to defending the dignity of womanhood by fighting for their basic social, economic and political rights, demonstrating courageous initiative at a time when this was considered extremely inappropriate, the sign of a lack of femininity, a manifestation of exhibitionism, and even a sin!. . . We then are told that, from the very beginning, man has been created ""male and female"" (Genesis 1:27). Scripture itself provides the interpretation of this fact: even though man is surrounded by the innumerable creatures of the created world, he realizes that he is alone (cf. Gen 2:20). God intervenes in order to help him escape from this situation of solitude: ""It is not good that the man should be alone; I will make him a helper fit for him"" (Gen 2:18). The creation of woman is thus marked from the outset by the principle of help: a help which is not one-sided but mutual. Woman complements man, just as man complements woman. . . . In this vast domain of service, the Church's 2,000-year history, for all its historical conditioning, has truly experienced the ""genius of woman""; from the heart of the Church there have emerged women of the highest caliber who have left an impressive and beneficial mark in history. . . . The life of the Church in the Third Millennium will certainly not be lacking in new and surprising manifestations of ""the feminine genius.""",1995,"slovakia"
"115","Women Redefine Their Roles in New Russia","EECA","As women walked with bouquets of flowers, gifts from the men in their lives on this Women's Day, a small group of friends here in Russia's northern industrial and cultural center were celebrating in a different way. Two were sitting in a smoke-filled art-scene cafe watching the film ""I Shot Andy Warhol,"" about the radical American feminist Valerie Solanis. Another was home with her children. Still another was painting banners for a demonstration to remind residents what the Russian observance of International Women's Day -- a national holiday here since Soviet times -- is really about. ""It's a fake holiday,"" said Olga Lipovskaya, 49, chairwoman of the St. Petersburg Center for Gender Issues. ""All these flowers, they are false offerings of affection. I don't want a tulip. I would rather have rights, power and money."" While for most in Russia, Women's Day is a a time for flowers, perfume and boxes of candy, for these St. Petersburg intellectuals, it is a time to reflect about what it means to be a woman in this society. Only one of the four friends would call herself a feminist. But they find a certain sisterhood with each other and live in ways that even the most emancipated Western women might find intimidatingly liberated. For St. Petersburg, Women's Day has a particularly meaningful past. Many historians argue that it was the women of St. Petersburg, who celebrated the day in 1917 with a demonstration ""for bread and peace,"" who touched off the overthrow of the czar. Soon thereafter, Russian women were among the first in the world to receive the right to vote, in part as a result of efforts by radical Russian feminists like Aleksandra Kollontai. Women's Day ""is a holiday to celebrate the absolutely wonderful radicalism of the 1920's,"" said Alla Mitrofanova, one of the four friends, who helped Russian women learn about the Internet in the early 1990's. The Soviets imposed egalitarianism from above. A quota system ensured that women occupied a certain number of government posts. Women studied at universities alongside men. Cafeterias, laundries and day care centers opened in cities to ease women's burden at home. In today's Russia, however, the quota system has been eliminated and women have all but disappeared from top government posts. The privatization of state assets after the dissolution of the Soviet Union in 1991 overwhelmingly benefited men. At the same time, women, who for years had worked in factories and on construction sites, took pleasure in abandoning such toil for the life of a homemaker. Ms. Mitrofanova, 43, made such a choice. Despite her nontraditional approach to motherhood -- she chose a father for her children by asking various male friends -- she decided to become a stay-at-home mother for her two sons. She deplores the fact that women's work in the home is not valued and talks wistfully of the social services, like free day care, secured by feminists during the early Soviet era, but now in decline. ""Women will never win in the fight within the establishment for power,"" she said, in her disheveled kitchen in central St. Petersburg. ""Why should I try when I can achieve so much more at home?"" In Russia today, feminism, and activism more generally, is regarded with suspicion. Russians, cynical from the economic chaos of the past decade and the force-fed politics of Soviet times, scorn activism as pathetically naive. Besides, the problems of other social groups, like migrants from the Caucasus who face tremendous prejudice in Russia, are much more serious, the women in this circle said. Even so, Ms. Lipovskaya and her helpers were painting signs on Friday for today's demonstration. A self-described former hippie, who worked in low-paying cleaning and doorman jobs in Soviet times, she is one of the very few advocates of political protest. In 1992, a year after the demise of the Soviet Union, she founded the Gender Center. ""Feminism in Russia is associated with primitive stereotypes,"" she said in her sun-drenched office, which is based in a worn but stately St. Petersburg apartment. ""Feminists are either lesbians, ugly women who couldn't get a man, or crazy. No one here understands it's a huge field, not just activism."" Ms. Lipovskaya asserts that women have lost out in the last decade during Russia's transition to capitalism. Even so, when men and women found themselves adrift in the free-for-all that followed Communism's collapse, suddenly facing the loss of jobs and identities, it was women who proved more adaptive, landing jobs in the service industry and in small businesses, while men groped for jobs with similar status. ""The situation for women compared with Soviet times got worse,"" she said. ""Most women's organizations are self-help centers. But these problems need to be resolved in politics."" Despite the sharp decline in political representation, which many argue was in any case only for show and did not give women any real power, women seem to have done better than men in the economic transition. While life expectancies for men fell four years, to 59 years from 63, in the decade ending in 2001, women's life spans fell by only two, to 72. Alcoholism was largely responsible for men's catastrophic decline. Another member of this group of friends, Roza Khatskelevich, provides a model for other women through the sheer force of her professional success. Ms. Khatskelevich, an administrator in an arts academy in Soviet times, runs a large resource center for nongovernmental organizations that she founded in 1992. She shies from the feminist label, though, saying it puts her in a box. ""I have no political platforms,"" she said. ""I don't like the system of rules the word 'feminist' implies."" Even so, she has reared her son as a single mother, while providing leadership to her mostly female staff, and, by all accounts, she has lived the life of an empowered woman. Russian women do not identify with Western models of feminism, she said, because, quite simply, they do not feel discriminated against. That could be changing, as younger women come of age. Irina Aktuganova, director of the Cyber-Femin-Club, a group that helps women use the Internet, and the small cafe where the film was showing, said universities were starting to create gender studies departments. Younger women, who remember little of the Soviet Union, no longer think of the gender studies as something alien. In addition, women are beginning to enter local governments, although in the lowest positions. The St. Petersburg League of Women Voters, affiliated with the American group, says 43 percent of local administrators are women, up from 32 percent in 1998. Women's rights were not appreciated in Soviet times because they were imposed by decree and never fought for, said Ms. Aktuganova, adding, ""Young women don't fear the word feminism."" That is true for Elena Gres, 20, a third-year student at the Nevsky Institute of Language and Culture, a new private college. Ms. Gres, from a Siberian oil town, has discussed gender issues in class, something that got her thinking about women's political representation. ""I thought a feminist was someone who poured her own wine and opened doors for herself,"" said Ms. Gres, in a St. Petersburg cafe. ""A woman should be able to bring her understanding of the world to politics. That seemed to me very right. The exclusion of women is just unhealthy.""",2003,"Russia"
"116","World Briefing Europe: Russia: Putin Says Politics Needs More Women","EECA","Women should play a larger role in Russian politics, President Vladimir V. Putin said during a meeting with women's groups in Siberia. ""Social questions can be resolved by the government only when its legislative bodies are made up of at least 20 percent women, since they pay closer attention to social questions,"" he said, noting that women make up only 7.3 percent of the lower house of Parliament. International Women's Day, on March 8, is a major holiday in Russia and is often marked by men giving women flowers and candy, then getting drunk.   Sophia Kishkovsky (NYT)",2003,"Russia"
"117","World Briefing  Europe: Russia: Chechen Leader Calls For Polygamy","EECA","  Ramzan Kadyrov, the first deputy prime minister of Chechnya, said that because the decade-long separatist war in the republic had taken a toll on its male population, men there should be legally allowed to have several wives, the Itar-Tass news agency reported. In an interview with Ekho Moskvy radio, Mr. Kadyrov, above, considered the most powerful man in the republic, said, ''Chechnya needs that because it has a war and, statistically, the number of women is 10 percent larger than the number of men.'' Russian law restricts citizens to one marriage, but Islamic custom allows up to four wives. ALEXANDER NURNBERG (NYT)",2006,"Russia"
"118","Unholy Alliance","EECA","Some horrific events over the past few months, including the shooting of a Pakistani schoolgirl and the rape and murder of a young Indian physiotherapy student, should have been an alert for the world to unite in preventing violence against women. But if a conference now under way at the United Nations is any guide, that message has not resounded with the necessary urgency. Halfway into their two-week annual meeting, delegates to the Commission on the Status of Women fear they will not be able to agree on a final communiqué, just like last year. Who is to blame? Delegates and activists are pointing fingers at the Vatican, Iran and Russia for trying to eliminate language in a draft communiqué asserting that the familiar excuses -- religion, custom, tradition -- cannot be used by governments to duck their obligation to eliminate violence. The United Nations Human Rights Council endorsed similar language just six months ago. Conservative hard-liners seem determined to fight it out again. They have also objected to references to abortion rights, as well as language suggesting that rape also includes forcible behavior by a woman's husband or partner. Poland, Egypt, other Muslim states and conservative American Christian groups have criticized one or more parts of the draft. The efforts by the Vatican and Iran to control women are well known. It is not clear what motivates Russia, although there is a strong antifeminist strain in President Vladimir V. Putin's government. He may also be trying to curry favor with Islamic states. In any case, the suggestion that traditional values justify the violation of basic human rights is spurious. As Inga Marte Thorkildsen, Norway's gender equality minister, has noted, ''Violence against women must be seen as a human rights issue, and that has nothing to do with culture or religion.'' Gender-based violence is an epidemic. A World Bank report estimated that more women between the ages of 15 and 44 were at risk from rape and domestic violence than from cancer, car accidents, war and malaria combined. According to the United Nations and other sources, more than 600 million women live in countries where domestic violence is not considered a crime and more than 3 million girls are facing female genital mutilation. Women in all social, economic, ethnic and religious groups are affected. The conference will be a failure if it cannot produce ambitious global standards that will deliver concrete results to protect women and girls.",2013,"Russia"
"119","In Moscow, An Attempt To Wed Pushes Gay Rights","EECA","They knew they had no chance. But there they were anyway at a marriage registration office in Moscow on Tuesday. Two young women, wearing tuxedos and clutching bouquets, trying to become the first same-sex couple in Russia to legally wed. ''We have love, we have happiness, we want to be together for our whole lives and we want to do this here in Russia,'' said Irina Fedotova, who hoped to marry her longtime partner, Irina Shipitko. In a country where the push for gay rights has materialized only recently -- and in fits and starts often met with violence and arrests -- their  attempt to marry was a bold, if muted, political statement as much as it was an expression of love. The unsurprising response from the official at the registration office was dry and unequivocal. ''According to article 12 of the family codex, for a marriage to be sanctioned it is necessary to have the mutual and voluntary agreement of a man and a woman.'' Both women said they had expected their marriage application to be rejected and said they would appeal the decision. Their attempt to marry was meant in part to draw attention to gay rights in Russia as thousands of Europeans flood Moscow for the  Eurovision song contest. Gay rights groups  plan  a demonstration in Moscow Saturday, the day of the Eurovision final. In the past, such protests have been met with violent attacks by radical Orthodox Christian groups and neo-fascists. The police, who turn out to these events by the hundreds, are often slow to intervene. Yuri M. Luzhkov, Moscow's mayor, has consistently refused to allow the demonstrations, referring to them as ''satanic acts.'' At an international AIDS conference in Moscow in December, he said he would continue to forbid the ''propaganda of sexual minorities because it could be a factor in the spread of H.I.V.,'' the Ria Novosti news agency reported. This  antipathy toward homosexuals among politicians and society  has forced many here to live in secrecy, and has stifled the formation of a large gay rights movement with legal teams, lobbyists and  grass-roots support as in Europe and the United States. In the past several years, however, Ms. Fedotova said she had noticed a slight increase in tolerance toward homosexuals in Russia, as more and more of them choose to live openly. ''In Moscow, specifically, gay society has received a minimal level of freedoms,'' Ms. Fedotova said. ''There are clubs and places to meet where you can find partners, but that is it.'' Ms. Fedotova, 30, and Ms. Shipitko, 32, have decided to marry in Canada, where they can do so legally, but said they would return to Russia  and hopefully serve as an example to other gay couples and to Russian society.",2009,"Russia"
"120","99 Ways To Be Naughty In Kazakhstan","EECA","Hooray for Cosmo for promoting women's empowerment in its early days. Today, however, Cosmo is holding women back by promoting a sexualized form of power. Can a woman be authoritative, independent, successful and happy if she's not sexy? Cosmo's form of empowerment depends on women's subordination: it's about attracting and pleasing men. That's not power, that's distraction.JOANIE MACKOWSKI, Ithaca, N.Y., posted on nytimes.com Cosmo has its moments, and if it is helping young women to feel more confident and informed all over the world, that seems worthwhile. JENNIFER LYMNEOS,Wayland, Mass., posted on nytimes.com You neglected to mention one very relevant corner of the earth where Cosmo is sought out for sex information: Bible Belt America. PAUL CONLIN,Lake Zurich, Ill.",2012,"Kazakhstan"
"121","GREEK WOMEN GAIN IN ELECTION ROLE","EECA","Greece's women, statistically shown to be more socially and economically discriminated against than their counterparts in any other Western country, have mobilized to an extent that will make them a determining factor in next month's general elections. Awareness of their enhanced political role has led the parties to respond to demands by the National Council of Women for the inclusion of a far larger number of women than usual as candidates in the elections. And the wives of Prime Minister George Rallis and of the Socialist opposition leader, Andreas Papandreou, are campaigning throughout the country in a bid for the female vote, which accounts for 50.5 percent of the seven million elgible voters. About 250 female candidates, or more than 10 percent of the total, are running this time, compared with 103 in the last general election, in 1977, and 16 in 1958. Most will represent left-wing parties, reflecting the feminist complaint that their underprivileged position stems at least partly from rightist government. Prime Minister Rallis pledged yesterday that he would include women in his government if he wins the elections, but he said they themselves were partly to blame for their limited presence in politics. ''I don't believe women are less able but are just less inclined than men to participate in politics,'' he said. 10 Women in Parliament The present Parliament has 10 women among i ts 300 members, and though this is the largest number ever it is still the lowest proportion in Europe. The low participation of women is evident at all levels of Greek public life, as revealed by a conference on the issue held 10 months ago in Philadelphia by the American-based Modern Greek Studies Association. There are no women governors or executive directors in the large state-owned banks or public corporations. The first woman judge was appointed in 1959, and women now make up 17 percent of the total judiciary, but none are in the top echelons of the courts. The first women were accepted into the diplomatic corps in 1972, and today there are fewer than 20. Among the more than 200,000 public employees, women hold less than 1 percent of the highest posts but 61 percent in the lower ranks.  There have been no appointments of women as secretary generals of ministries and none as municipal prefects, and there have been only half a dozen female mayors. By law women are forbidden participation in councils of the Greek Orthodox Church, and few women find their way to the top of labor unions. Female Graduates Increase Their presence is more strongly felt in the private sector and the liberal professions, as well as in higher education, where female graduates increased from 23 percent to 38.6 percent of the total between 1960 and 1977. But of the 800,000 illiterates in Greece, 78 percent are women. George Psacharopoulos, of the London School of Economics, said at the Philadelphia conference that ''discrimination against females is still a dominant feature of the Greek labor market.'' His statistics showed that pay for women is on average less than two-thirds of pay for men and that women's depressed economic position has not improved over the last decade. Statistics published last year by the 24-nation Organization for Economic Cooperation and Development showed that Greek women make up only 31.2 percent of the labor force, the lowest in the West. Spain follows with 32.5 percent, while Sweden has the highest female participation , 70 percent. The figure for the United States is 55.7 percent. The organization's figures showed that the average earnings of Greek women were 68 percent that of men, also the lowest in Europe.  West Germany and Italy registered 72 and 80 percent. Discrimination filters up to the political level. In the balconies of Parliament women visitors are kept separate from men. There are no women in the Cabinet or on the executive boards of the governing New Democracy Party or the opposition Socialists, though three of the 10 members of the board of the pro-Moscow Greek Communist Party are women. Greece is the only nation that does not have women among its 24 delegate to the European Parliament. Several Causes Cited Virginia Tsouderos, a Harvard-educated member of Parliament and a prominent women's rights campaigner, attributes the situation to the heavily patriarchal nature of Greek society, the traditionalist influence of the church and a social outlook that values a woman according to her subservience and housework abilities. She also points to the discriminating nature of the legal system, for Greece is the last European nation to maintain laws based on Roman-Byzantine law. It is the reaction against these laws that brought women to mobilize. The rallying point was a family law bill to put into effect equality of the sexes, as specified for the first time in the Constitution enacted in 1975. Parliament did not ratify the bill before recessing for the elections, but the legal changes already accepted by the Government include the abolition of the marriage dowry and of provisions naming the father as head of the family. Following guidelines adopted by the 21-nation Council of Europe, the bill establishes equality between parents in family decision-making and abolishes such provisions as those requiring a woman to have her husband's authorization to travel abroad with the children, to register them at school or to establish a private business.",1981,"Greece"
"122","Study Sees Setbacks for Polish Women","EECA","The democratic revolution that flushed communism from power in Poland has done nothing to root out sexism, according to a report by two American human rights groups. On the contrary, according to ""Hidden Victims: Women in Post-Communist Poland,"" discrimination against women has increased since the changes of 1989. ""While democracy takes one step forward in Poland, women take two steps back,"" says the report issued jointly this week by Helsinki Watch of New York and the Washington-based Women's Rights Project. The notion of equal rights for women has been tainted by four decades of fellow-traveling with communist ideology, the report says. ""Women's rights are often perceived as politically suspect and are frequently rejected along with the rest of the communist past."" Among the findings of ""Hidden Victims"": In a country weathering a severe recession, women, on average, are laid off before men and most offers for new jobs are for men only. There is no Polish law to stop or punish sex discrimination in hiring practices. When men and women apply for unemployment benefits in a Warsaw office building, they are segregated on separate floors. Child-support payments in Poland are not indexed to the cost of living. After nearly three post-Communist years of high inflation, some women receive monthly support payments of 50 cents per child. The minister of justice has the authority to correct this injustice overnight. He chooses not to do so. Day care was widely available and cheap under communism. Since 1989, more than half of all day-care centers have closed and others have become prohibitively expensive. Poland was singled out for study, the report says, because its economic and social reforms started earlier and are more advanced than the changes in other post-Communist countries in Eastern Europe.",1992,"Poland"
